"st";"state";"cenReg";"cenRegN";"cenDiv";"cenDivN";"fedReg";"circCourt";"lat";"lon";"crime";"violent";"smoking";"drinking";"diabetes";"opioid";"income"
"1";"AL";"Alabama";3;"South";6;"East South Central";"IV";"11";32.6010112;-86.6807365;9;417.97;0.211;0.133;0.124;7.5;44758
"2";"AK";"Alaska";4;"West";9;"Pacific";"X";"9";61.3025006;-158.7750198;5.3;614.86;0.199;0.217;0.077;12.5;74444
"3";"AZ";"Arizona";4;"West";8;"Mountain";"IX";"9";34.1682185;-111.930907;6.7;416.2;0.165;0.166;0.096;11.4;51340
"4";"AR";"Arkansas";3;"South";7;"West South Central";"VI";"8";34.7519275;-92.1313784;7.7;484.46;0.247;0.143;0.118;5.9;42336
"5";"CA";"California";4;"West";9;"Pacific";"IX";"9";37.2718745;-119.2704153;5.3;424.53;0.128;0.172;0.099;4.9;63783
"6";"CO";"Colorado";4;"West";8;"Mountain";"VIII";"10";38.9979339;-105.550567;3.6;317.51;0.157;0.19;0.068;9.5;62520
"7";"CT";"Connecticut";1;"Northeast";1;"New England";"I";"2";41.5187835;-72.757507;3.7;279.25;0.154;0.176;0.086;24.5;71755
"8";"DE";"Delaware";3;"South";5;"South Atlantic";"III";"3";39.145251;-75.4189206;6.2;576.46;0.199;0.172;0.107;16.9;61017
"9";"FL";"Florida";3;"South";5;"South Atlantic";"IV";"11";27.9757279;-83.8330166;6.5;514.31;0.176;0.17;0.112;14.4;48900
"10";"GA";"Georgia";3;"South";5;"South Atlantic";"IV";"11";32.6781248;-83.2229757;6.8;384.73;0.174;0.156;0.114;8.8;51037
"11";"HI";"Hawaii";4;"West";9;"Pacific";"IX";"9";20.46;-157.505;1.8;263.46;0.141;0.211;0.092;5.2;71977
"12";"ID";"Idaho";4;"West";8;"Mountain";"X";"9";45.4945756;-114.1424303;1.9;209.73;0.159;0.161;0.081;7.4;49174
"13";"IL";"Illinois";2;"Midwest";3;"East North Central";"V";"7";39.739318;-89.504139;6.4;429.64;0.165;0.214;0.097;15.3;59196
"14";"IN";"Indiana";2;"Midwest";3;"East North Central";"V";"7";39.7662195;-86.441277;5.4;333.65;0.229;0.158;0.103;12.6;50433
"15";"IA";"Iowa";2;"Midwest";4;"West North Central";"VII";"8";41.9383166;-93.389798;2;262.65;0.185;0.223;0.091;6.2;54570
"16";"KS";"Kansas";2;"Midwest";4;"West North Central";"VII";"10";38.4987789;-98.3200779;4.1;359.74;0.181;0.171;0.098;5.1;53571
"17";"KY";"Kentucky";3;"South";6;"East South Central";"IV";"6";37.8222935;-85.7682399;4.9;234.88;0.262;0.136;0.119;23.6;44811
"18";"LA";"Louisiana";3;"South";7;"West South Central";"VI";"5";30.9733766;-91.4299097;12.4;535.74;0.24;0.177;0.112;7.7;45652
"19";"ME";"Maine";1;"Northeast";1;"New England";"I";"1";45.2185133;-69.0148656;2.3;122.67;0.193;0.19;0.092;25.2;50826
"20";"MD";"Maryland";3;"South";5;"South Atlantic";"III";"4";38.8063524;-77.2684162;8;505.52;0.146;0.168;0.102;29.7;76067
"21";"MA";"Massachusetts";1;"Northeast";1;"New England";"I";"1";42.0629398;-71.718067;2.6;434.12;0.147;0.196;0.093;29.7;70954
"22";"MI";"Michigan";2;"Midwest";3;"East North Central";"V";"6";44.9435598;-86.4158049;6.9;464.28;0.212;0.204;0.102;18.5;50803
"23";"MN";"Minnesota";2;"Midwest";4;"West North Central";"V";"8";46.4418595;-93.3655146;2.1;229.25;0.163;0.212;0.078;7.4;63217
"24";"MS";"Mississippi";3;"South";6;"East South Central";"IV";"5";32.5851062;-89.8772196;10.1;266.65;0.23;0.138;0.125;6.2;40528
"25";"MO";"Missouri";2;"Midwest";4;"West North Central";"VII";"8";38.3046615;-92.437099;7.2;451.98;0.206;0.161;0.105;15.9;49593
"26";"MT";"Montana";4;"West";8;"Mountain";"VIII";"9";46.6797995;-110.044783;3.2;271.82;0.199;0.208;0.088;4.2;48380
"27";"NE";"Nebraska";2;"Midwest";4;"West North Central";"VII";"8";41.5008195;-99.680902;3.7;263.59;0.173;0.214;0.087;2.4;54384
"28";"NV";"Nevada";4;"West";8;"Mountain";"IX";"9";38.502032;-117.0230604;5.6;610.77;0.17;0.176;0.103;13.3;53094
"29";"NH";"New Hampshire";1;"Northeast";1;"New England";"I";"1";44.0012306;-71.5799231;1.3;181.08;0.175;0.189;0.088;35.8;68485
"30";"NJ";"New Jersey";1;"Northeast";2;"Mid-Atlantic";"II";"3";40.1430058;-74.7311156;4.6;302;0.151;0.173;0.098;16;73702
"31";"NM";"New Mexico";4;"West";8;"Mountain";"VI";"10";34.1662325;-106.0260685;7.5;571.48;0.191;0.151;0.108;17.5;45674
"32";"NY";"New York";1;"Northeast";2;"Mid-Atlantic";"II";"2";40.7056258;-73.97968;4.1;399.78;0.144;0.165;0.099;15.1;60741
"33";"NC";"North Carolina";3;"South";5;"South Atlantic";"IV";"4";35.2145629;-79.8912675;6.2;355.27;0.191;0.151;0.105;15.4;48256
"34";"ND";"North Dakota";2;"Midwest";4;"West North Central";"VIII";"8";47.4678819;-100.3022655;1.9;240.45;0.199;0.25;0.079;7.6;59114
"35";"OH";"Ohio";2;"Midwest";3;"East North Central";"V";"6";40.1903624;-82.6692525;5.4;307.23;0.21;0.191;0.114;32.9;50674
"36";"OK";"Oklahoma";3;"South";7;"West South Central";"VI";"10";35.3097654;-98.7165585;6.6;468.44;0.211;0.135;0.112;11.6;48038
"37";"OR";"Oregon";4;"West";9;"Pacific";"X";"9";44.1419049;-120.5380993;2.6;248.82;0.17;0.189;0.092;7.6;53270
"38";"PA";"Pennsylvania";1;"Northeast";2;"Mid-Atlantic";"III";"3";40.9945928;-77.6046984;5.6;356.72;0.199;0.177;0.106;18.5;54895
"39";"RI";"Rhode Island";1;"Northeast";1;"New England";"I";"1";41.5827282;-71.5064508;2.6;252.43;0.163;0.202;0.093;26.7;58387
"40";"SC";"South Carolina";3;"South";5;"South Atlantic";"IV";"4";33.62505;-80.9470381;7.6;577.49;0.215;0.155;0.118;13.1;46898
"41";"SD";"South Dakota";2;"Midwest";4;"West North Central";"VIII";"8";44.2126995;-100.2471641;2.6;281.81;0.186;0.183;0.087;5;52078
"42";"TN";"Tennessee";3;"South";6;"East South Central";"IV";"6";35.830521;-85.9785989;7.2;621.34;0.242;0.116;0.116;18.1;46574
"43";"TX";"Texas";3;"South";7;"West South Central";"VI";"5";31.1693363;-100.0768425;5.5;421.6;0.145;0.174;0.11;4.9;54727
"44";"UT";"Utah";4;"West";8;"Mountain";"VIII";"10";39.4997605;-111.547028;1.9;204.72;0.097;0.121;0.071;16.4;62518
"45";"VT";"Vermont";1;"Northeast";1;"New England";"I";"2";43.8717545;-72.4477828;1.8;136.29;0.164;0.206;0.076;18.4;56104
"46";"VA";"Virginia";3;"South";5;"South Atlantic";"III";"4";38.0033855;-79.4587861;4.5;200.24;0.195;0.166;0.094;13.5;66149
"47";"WA";"Washington";4;"West";9;"Pacific";"X";"9";38.8993487;-77.0145665;2.9;301.15;0.153;0.188;0.085;9.4;62848
"48";"WV";"West Virginia";3;"South";5;"South Atlantic";"III";"4";38.9201705;-80.1816905;4.9;311.15;0.267;0.103;0.123;43.4;42644
"49";"WI";"Wisconsin";2;"Midwest";3;"East North Central";"V";"7";44.7862968;-89.8267049;3.1;255.48;0.174;0.233;0.092;15.8;54610
"50";"WY";"Wyoming";4;"West";8;"Mountain";"VIII";"10";43.000325;-107.5545669;3.2;206.19;0.195;0.185;0.081;8.7;59143
