"crime";"violent";"smoking";"drinking";"diabetes";"opioid";"income"
"AL";9;417.97;0.211;0.133;0.124;7.5;44758
"AR";7.7;484.46;0.247;0.143;0.118;5.9;42336
"AZ";6.7;416.2;0.165;0.166;0.096;11.4;51340
"CA";5.3;424.53;0.128;0.172;0.099;4.9;63783
"CO";3.6;317.51;0.157;0.19;0.068;9.5;62520
"CT";3.7;279.25;0.154;0.176;0.086;24.5;71755
"DE";6.2;576.46;0.199;0.172;0.107;16.9;61017
"FL";6.5;514.31;0.176;0.17;0.112;14.4;48900
"GA";6.8;384.73;0.174;0.156;0.114;8.8;51037
"IA";2;262.65;0.185;0.223;0.091;6.2;54570
"ID";1.9;209.73;0.159;0.161;0.081;7.4;49174
"IL";6.4;429.64;0.165;0.214;0.097;15.3;59196
"IN";5.4;333.65;0.229;0.158;0.103;12.6;50433
"KS";4.1;359.74;0.181;0.171;0.098;5.1;53571
"KY";4.9;234.88;0.262;0.136;0.119;23.6;44811
"LA";12.4;535.74;0.24;0.177;0.112;7.7;45652
"MA";2.6;434.12;0.147;0.196;0.093;29.7;70954
"MD";8;505.52;0.146;0.168;0.102;29.7;76067
"ME";2.3;122.67;0.193;0.19;0.092;25.2;50826
"MI";6.9;464.28;0.212;0.204;0.102;18.5;50803
"MN";2.1;229.25;0.163;0.212;0.078;7.4;63217
"MO";7.2;451.98;0.206;0.161;0.105;15.9;49593
"MS";10.1;266.65;0.23;0.138;0.125;6.2;40528
"MT";3.2;271.82;0.199;0.208;0.088;4.2;48380
"NC";6.2;355.27;0.191;0.151;0.105;15.4;48256
"ND";1.9;240.45;0.199;0.25;0.079;7.6;59114
"NE";3.7;263.59;0.173;0.214;0.087;2.4;54384
"NH";1.3;181.08;0.175;0.189;0.088;35.8;68485
"NJ";4.6;302;0.151;0.173;0.098;16;73702
"NM";7.5;571.48;0.191;0.151;0.108;17.5;45674
"NV";5.6;610.77;0.17;0.176;0.103;13.3;53094
"NY";4.1;399.78;0.144;0.165;0.099;15.1;60741
"OH";5.4;307.23;0.21;0.191;0.114;32.9;50674
"OK";6.6;468.44;0.211;0.135;0.112;11.6;48038
"OR";2.6;248.82;0.17;0.189;0.092;7.6;53270
"PA";5.6;356.72;0.199;0.177;0.106;18.5;54895
"SD";2.6;281.81;0.186;0.183;0.087;5;52078
"TN";7.2;621.34;0.242;0.116;0.116;18.1;46574
"UT";1.9;204.72;0.097;0.121;0.071;16.4;62518
"VA";4.5;200.24;0.195;0.166;0.094;13.5;66149
"TX";5.5;421.6;0.145;0.174;0.11;4.9;54727
"WY";3.2;206.19;0.195;0.185;0.081;8.7;59143
"RI";2.6;252.43;0.163;0.202;0.093;26.7;58387
"SC";7.6;577.49;0.215;0.155;0.118;13.1;46898
"WI";3.1;255.48;0.174;0.233;0.092;15.8;54610
"WA";2.9;301.15;0.153;0.188;0.085;9.4;62848
"WV";4.9;311.15;0.267;0.103;0.123;43.4;42644
"VT";1.8;136.29;0.164;0.206;0.076;18.4;56104
